date,temp
1-May-18,59
2-May-18,67
3-May-18,74
4-May-18,74
5-May-18,66
6-May-18,60
7-May-18,60
8-May-18,64
9-May-18,64
10-May-18,64
11-May-18,65
12-May-18,56
13-May-18,53
14-May-18,65
15-May-18,76
16-May-18,62
17-May-18,66
18-May-18,63
19-May-18,54
20-May-18,69
21-May-18,67
22-May-18,63
23-May-18,69
24-May-18,70
25-May-18,70
26-May-18,77
27-May-18,68
28-May-18,65
29-May-18,79
30-May-18,70
31-May-18,68
