day,temp17,temp18,temp19
1,66,59,56
2,67,67,67
3,54,74,57
4,51,74,67
5,58,66,60
6,58,60,66
7,47,60,67
8,48,64,65
9,50,64,58
10,57,64,67
11,52,65,62
12,54,56,
13,50,53,
14,58,65,
15,60,76,
16,62,62,
17,71,66,
18,79,63,
19,77,54,
20,58,69,
21,59,67,
22,58,63,
23,59,69,
24,65,70,
25,60,70,
26,66,77,
27,64,68,
28,65,65,
29,60,79,
30,59,70,
31,70,68,
